title,date,category,link
"Attorney General Alan Wilson Announces Eastover Man Charged With Stealing More Than $200,000 From Vulnerable Adult",2024-07-31,"Attorney General Alan Wilson Announces Eastover Man Charged With Stealing More Than $200,000 From Vulnerable Adult",https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-eastover-man-charged-with-stealing-more-than-200000-from-vulnerable-adult/
Arlington Man Convicted For Illegally Obtaining Healthcare Records And Trying To Cover Up His Crimes,2024-07-31,Arlington Man Convicted For Illegally Obtaining Healthcare Records And Trying To Cover Up His Crimes,https://oig.hhs.gov/fraud/enforcement/arlington-man-convicted-for-illegally-obtaining-healthcare-records-and-trying-to-cover-up-his-crimes/
"Avantor, Inc. Agrees To Pay $5.325 Million To Resolve Allegations Of False Claims For Overcharging Federal Agencies And Allegations Of DEA Violations And Lack Of Compliance As To Listed Chemicals",2024-07-31,"Avantor, Inc. Agrees To Pay $5.325 Million To Resolve Allegations Of False Claims For Overcharging Federal Agencies And Allegations Of DEA Violations And Lack Of Compliance As To Listed Chemicals",https://oig.hhs.gov/fraud/enforcement/avantor-inc-agrees-to-pay-5325-million-to-resolve-allegations-of-false-claims-for-overcharging-federal-agencies-and-allegations-of-dea-violations-and-lack-of-compliance-as-to-listed-chemicals/
New Orleans Man Pled Guilty To Federal Charge Of Conspiracy To Commit Health Care Fraud,2024-08-01,New Orleans Man Pled Guilty To Federal Charge Of Conspiracy To Commit Health Care Fraud,https://oig.hhs.gov/fraud/enforcement/new-orleans-man-pled-guilty-to-federal-charge-of-conspiracy-to-commit-health-care-fraud/
AG Nessel Files Lawsuit Against Regeneron Alleging Fraudulent Drug Price Reporting For Eye Medication,2024-08-01,AG Nessel Files Lawsuit Against Regeneron Alleging Fraudulent Drug Price Reporting For Eye Medication,https://oig.hhs.gov/fraud/enforcement/ag-nessel-files-lawsuit-against-regeneron-alleging-fraudulent-drug-price-reporting-for-eye-medication/
"Attorney General Tong Announces $186,731 False Claims Act Judgment Against Newtown Therapist",2024-08-01,"Attorney General Tong Announces $186,731 False Claims Act Judgment Against Newtown Therapist",https://oig.hhs.gov/fraud/enforcement/attorney-general-tong-announces-186731-false-claims-act-judgment-against-newtown-therapist/
Colorado Joins Lawsuit Against Regeneron Over Alleged Fraudulent Drug Price Reporting For Eye Medication,2024-08-01,Colorado Joins Lawsuit Against Regeneron Over Alleged Fraudulent Drug Price Reporting For Eye Medication,https://oig.hhs.gov/fraud/enforcement/colorado-joins-lawsuit-against-regeneron-over-alleged-fraudulent-drug-price-reporting-for-eye-medication/
Peak Physical Therapy Agreed to Pay $1.8 Million for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services by Unenrolled or Uncredentialed Providers and for Services Not Provided as Claimed,2024-08-01,Peak Physical Therapy Agreed to Pay $1.8 Million for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services by Unenrolled or Uncredentialed Providers and for Services Not Provided as Claimed,https://oig.hhs.gov/fraud/enforcement/peak-physical-therapy-agreed-to-pay-18-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-by-unenrolled-or-uncredentialed-providers-and-for-services-not-provided-as-claimed/
Mt. Juliet Woman Sentenced For Long-Running Theft From Federal Health Care And Disability Programs,2024-08-01,Mt. Juliet Woman Sentenced For Long-Running Theft From Federal Health Care And Disability Programs,https://oig.hhs.gov/fraud/enforcement/mt-juliet-woman-sentenced-for-long-running-theft-from-federal-health-care-and-disability-programs/
Doctor And Her Granddaughter Sentenced To Prison For Unlawful Distribution Of Opioids,2024-08-01,Doctor And Her Granddaughter Sentenced To Prison For Unlawful Distribution Of Opioids,https://oig.hhs.gov/fraud/enforcement/doctor-and-her-granddaughter-sentenced-to-prison-for-unlawful-distribution-of-opioids/
Six Indicted In Scheme To Defraud D.C. Medicaid Program,2024-08-02,Six Indicted In Scheme To Defraud D.C. Medicaid Program,https://oig.hhs.gov/fraud/enforcement/six-indicted-in-scheme-to-defraud-dc-medicaid-program/
Federal Court Permanently Prohibits Ohio Physician From Prescribing Opioids And Imposes $4.7M Judgment For Alleged Unlawful Opioid Distribution,2024-08-02,Federal Court Permanently Prohibits Ohio Physician From Prescribing Opioids And Imposes $4.7M Judgment For Alleged Unlawful Opioid Distribution,https://oig.hhs.gov/fraud/enforcement/federal-court-permanently-prohibits-ohio-physician-from-prescribing-opioids-and-imposes-47m-judgment-for-alleged-unlawful-opioid-distribution/
"Optimus Health Care Agreed to Pay $353,000 for Allegedly Violating the Civil Monetary Penalties Law by Retaining Overpayments",2024-08-05,"Optimus Health Care Agreed to Pay $353,000 for Allegedly Violating the Civil Monetary Penalties Law by Retaining Overpayments",https://oig.hhs.gov/fraud/enforcement/optimus-health-care-agreed-to-pay-353000-for-allegedly-violating-the-civil-monetary-penalties-law-by-retaining-overpayments/
Non-Profit Executive Convicted Of Conspiring To Defraud Federal Government And To Obstruct Federal Administrative Proceeding,2024-08-05,Non-Profit Executive Convicted Of Conspiring To Defraud Federal Government And To Obstruct Federal Administrative Proceeding,https://oig.hhs.gov/fraud/enforcement/non-profit-executive-convicted-of-conspiring-to-defraud-federal-government-and-to-obstruct-federal-administrative-proceeding/
North Haven Counselor Admits Defrauding Medicaid of More Than $1.6 Million,2024-08-06,North Haven Counselor Admits Defrauding Medicaid of More Than $1.6 Million,https://oig.hhs.gov/fraud/enforcement/north-haven-counselor-admits-defrauding-medicaid-of-more-than-16-million/
Maryland Man Convicted Of Assaulting Law Enforcement And Other Charges For Actions During Jan. 6 Capitol Breach,2024-08-06,Maryland Man Convicted Of Assaulting Law Enforcement And Other Charges For Actions During Jan. 6 Capitol Breach,https://oig.hhs.gov/fraud/enforcement/maryland-man-convicted-of-assaulting-law-enforcement-and-other-charges-for-actions-during-jan-6-capitol-breach/
Ohio Doctor Sentenced For Conspiring To Accept Kickbacks In Connection With Fraudulent Telemarketing Scheme That Harmed Medicare And TRICARE Patients In Eastern Washington,2024-08-07,Ohio Doctor Sentenced For Conspiring To Accept Kickbacks In Connection With Fraudulent Telemarketing Scheme That Harmed Medicare And TRICARE Patients In Eastern Washington,https://oig.hhs.gov/fraud/enforcement/ohio-doctor-sentenced-for-conspiring-to-accept-kickbacks-in-connection-with-fraudulent-telemarketing-scheme-that-harmed-medicare-and-tricare-patients-in-eastern-washington/
"Owner Of Spokane Valley Medical Supply Company Agrees To Pay $224,620 To Resolve Allegations Of Health Care Fraud",2024-08-07,"Owner Of Spokane Valley Medical Supply Company Agrees To Pay $224,620 To Resolve Allegations Of Health Care Fraud",https://oig.hhs.gov/fraud/enforcement/owner-of-spokane-valley-medical-supply-company-agrees-to-pay-224620-to-resolve-allegations-of-health-care-fraud/
Tulsa Physician Pays Over $600k to Resolve Allegations of False Claims Act Violations,2024-08-09,Tulsa Physician Pays Over $600k to Resolve Allegations of False Claims Act Violations,https://oig.hhs.gov/fraud/enforcement/tulsa-physician-pays-over-600k-to-resolve-allegations-of-false-claims-act-violations/
"Inspira Behavioral Health Agreed to Pay $141,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Cash Payments and Free Office Space",2024-08-13,"Inspira Behavioral Health Agreed to Pay $141,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Cash Payments and Free Office Space",https://oig.hhs.gov/fraud/enforcement/inspira-behavioral-health-agreed-to-pay-141000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-cash-payments-and-free-office-space/
Testing Laboratory Co-Owner Sentenced For $3.8 Million In Fraudulent Billing,2024-08-13,Testing Laboratory Co-Owner Sentenced For $3.8 Million In Fraudulent Billing,https://oig.hhs.gov/fraud/enforcement/testing-laboratory-co-owner-sentenced-for-38-million-in-fraudulent-billing/
Attorney General Josh Stein Announces Health Care Fraud Sentencing,2024-08-14,Attorney General Josh Stein Announces Health Care Fraud Sentencing,https://oig.hhs.gov/fraud/enforcement/attorney-general-josh-stein-announces-health-care-fraud-sentencing-1/
New Hampshire Couple Indicted For Medicaid Fraud,2024-08-14,New Hampshire Couple Indicted For Medicaid Fraud,https://oig.hhs.gov/fraud/enforcement/new-hampshire-couple-indicted-for-medicaid-fraud/
Attorney General Phil Weiser Charges Medicaid Biller For $1.2 Million In False Liquid Nutrition Claims,2024-08-14,Attorney General Phil Weiser Charges Medicaid Biller For $1.2 Million In False Liquid Nutrition Claims,https://oig.hhs.gov/fraud/enforcement/attorney-general-phil-weiser-charges-medicaid-biller-for-12-million-in-false-liquid-nutrition-claims/
Federal Jury Convicts Felon On Supervised Release Of Using A Fraudulently Obtained Social Security Number And Theft Of Social Security Benefits,2024-08-14,Federal Jury Convicts Felon On Supervised Release Of Using A Fraudulently Obtained Social Security Number And Theft Of Social Security Benefits,https://oig.hhs.gov/fraud/enforcement/federal-jury-convicts-felon-on-supervised-release-of-using-a-fraudulently-obtained-social-security-number-and-theft-of-social-security-benefits/
Florida Man Pleads Guilty To Conspiring To Defraud Medicare Of $39.5 Million,2024-08-15,Florida Man Pleads Guilty To Conspiring To Defraud Medicare Of $39.5 Million,https://oig.hhs.gov/fraud/enforcement/florida-man-pleads-guilty-to-conspiring-to-defraud-medicare-of-395-million/
Carr's Medicaid Fraud Division Obtains New 15-Count Indictment In Forsyth County,2024-08-15,Carr's Medicaid Fraud Division Obtains New 15-Count Indictment In Forsyth County,https://oig.hhs.gov/fraud/enforcement/carrs-medicaid-fraud-division-obtains-new-15-count-indictment-in-forsyth-county/
Elizabethton Man Charged With Abuse Of Vulnerable Adult,2024-08-15,Elizabethton Man Charged With Abuse Of Vulnerable Adult,https://oig.hhs.gov/fraud/enforcement/elizabethton-man-charged-with-abuse-of-vulnerable-adult/
Dayton Woman Accused of $1.5 Million Medicaid Scheme Is Arrested in Texas,2024-08-16,Dayton Woman Accused of $1.5 Million Medicaid Scheme Is Arrested in Texas,https://oig.hhs.gov/fraud/enforcement/dayton-woman-accused-of-15-million-medicaid-scheme-is-arrested-in-texas/
"Lehighton Ambulance Association Agreed to Pay $142,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Transport Services Provided by an Uncertified Individual",2024-08-19,"Lehighton Ambulance Association Agreed to Pay $142,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Transport Services Provided by an Uncertified Individual",https://oig.hhs.gov/fraud/enforcement/lehighton-ambulance-association-agreed-to-pay-142000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-transport-services-provided-by-an-uncertified-individual/
"U.S. Attorney Announces $600,000 False Claims Act Settlement With Medical Practice And Its Owners For Improper Medicare And Medicaid Billing",2024-08-19,"U.S. Attorney Announces $600,000 False Claims Act Settlement With Medical Practice And Its Owners For Improper Medicare And Medicaid Billing",https://oig.hhs.gov/fraud/enforcement/us-attorney-announces-600000-false-claims-act-settlement-with-medical-practice-and-its-owners-for-improper-medicare-and-medicaid-billing/
"Provider To Pay $600,000 To Resolve False Claims Act Liability Arising From Billing Of Electro-Acupuncture Device",2024-08-19,"Provider To Pay $600,000 To Resolve False Claims Act Liability Arising From Billing Of Electro-Acupuncture Device",https://oig.hhs.gov/fraud/enforcement/provider-to-pay-600000-to-resolve-false-claims-act-liability-arising-from-billing-of-electro-acupuncture-device/
Pair Accused Of Kickback Scheme Involving Lab Testing,2024-08-19,Pair Accused Of Kickback Scheme Involving Lab Testing,https://oig.hhs.gov/fraud/enforcement/pair-accused-of-kickback-scheme-involving-lab-testing/
"Millington Woman Arrested, Charged in TBI Medicaid Fraud Investigation",2024-08-20,"Millington Woman Arrested, Charged in TBI Medicaid Fraud Investigation",https://oig.hhs.gov/fraud/enforcement/millington-woman-arrested-charged-in-tbi-medicaid-fraud-investigation/
Nationwide Home Healthcare And Hospice Provider To Pay $3.85M To Resolve False Claims Act Allegations,2024-08-20,Nationwide Home Healthcare And Hospice Provider To Pay $3.85M To Resolve False Claims Act Allegations,https://oig.hhs.gov/fraud/enforcement/nationwide-home-healthcare-and-hospice-provider-to-pay-385m-to-resolve-false-claims-act-allegations/
NIRP And Founder To Pay Nearly $9M To Resolve Alleged Kickback Referral Violations,2024-08-20,NIRP And Founder To Pay Nearly $9M To Resolve Alleged Kickback Referral Violations,https://oig.hhs.gov/fraud/enforcement/nirp-and-founder-to-pay-nearly-9m-to-resolve-alleged-kickback-referral-violations/
Husband And Wife Sentenced For Defrauding An Elderly Victim Out Of Her Home And Obstruction Of Justice,2024-08-21,Husband And Wife Sentenced For Defrauding An Elderly Victim Out Of Her Home And Obstruction Of Justice,https://oig.hhs.gov/fraud/enforcement/husband-and-wife-sentenced-for-defrauding-an-elderly-victim-out-of-her-home-and-obstruction-of-justice/
Connecticut Man Admits Role In $7.8 Million Health Care Fraud And Kickback Scheme,2024-08-21,Connecticut Man Admits Role In $7.8 Million Health Care Fraud And Kickback Scheme,https://oig.hhs.gov/fraud/enforcement/connecticut-man-admits-role-in-78-million-health-care-fraud-and-kickback-scheme/
St. Louis Man Sentenced For Home Health Care Fraud,2024-08-21,St. Louis Man Sentenced For Home Health Care Fraud,https://oig.hhs.gov/fraud/enforcement/st-louis-man-sentenced-for-home-health-care-fraud/
"Mary Free Bed Medical Group Agreed to Pay $69,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Upcoded Services",2024-08-21,"Mary Free Bed Medical Group Agreed to Pay $69,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Upcoded Services",https://oig.hhs.gov/fraud/enforcement/mary-free-bed-medical-group-agreed-to-pay-69000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-upcoded-services/
"President Of UMI Learning Center Sentenced To 27 Months In Prison, Ordered To Pay $3.7 Million Back In Stolen Childcare Benefits",2024-08-21,"President Of UMI Learning Center Sentenced To 27 Months In Prison, Ordered To Pay $3.7 Million Back In Stolen Childcare Benefits",https://oig.hhs.gov/fraud/enforcement/president-of-umi-learning-center-sentenced-to-27-months-in-prison-ordered-to-pay-37-million-back-in-stolen-childcare-benefits/
"Camden-Clark Physician Corporation and Parkersburg Cardiology Associates Agreed to Pay $155,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Incident-to Services Without Proper Supervision",2024-08-23,"Camden-Clark Physician Corporation and Parkersburg Cardiology Associates Agreed to Pay $155,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Incident-to Services Without Proper Supervision",https://oig.hhs.gov/fraud/enforcement/camden-clark-physician-corporation-and-parkersburg-cardiology-associates-agreed-to-pay-155000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-incident-to-services-without-proper-supervision/
"Buffalo Pharmacy Pays More Than $140,000 To Settle Record Keeping And Misbilling Allegations",2024-08-23,"Buffalo Pharmacy Pays More Than $140,000 To Settle Record Keeping And Misbilling Allegations",https://oig.hhs.gov/fraud/enforcement/buffalo-pharmacy-pays-more-than-140000-to-settle-record-keeping-and-misbilling-allegations/
"Oregon DOJ Reaches Plea Deal With Nurse For Criminal Mistreatment, Elder Abuse",2024-08-23,"Oregon DOJ Reaches Plea Deal With Nurse For Criminal Mistreatment, Elder Abuse",https://oig.hhs.gov/fraud/enforcement/oregon-doj-reaches-plea-deal-with-nurse-for-criminal-mistreatment-elder-abuse/
Texarkana Physician Sentenced To More Than 7 Years In Federal Prison For Prescribing Controlled Substances Without A Legitimate Medical Purpose,2024-08-26,Texarkana Physician Sentenced To More Than 7 Years In Federal Prison For Prescribing Controlled Substances Without A Legitimate Medical Purpose,https://oig.hhs.gov/fraud/enforcement/texarkana-physician-sentenced-to-more-than-7-years-in-federal-prison-for-prescribing-controlled-substances-without-a-legitimate-medical-purpose/
"United Seating And Mobility, LLC, D/B/A Numotion, Agrees To Pay $13,500,000 To Resolve Alleged False Claims For Custom Wheelchairs",2024-08-26,"United Seating And Mobility, LLC, D/B/A Numotion, Agrees To Pay $13,500,000 To Resolve Alleged False Claims For Custom Wheelchairs",https://oig.hhs.gov/fraud/enforcement/united-seating-and-mobility-llc-dba-numotion-agrees-to-pay-13500000-to-resolve-alleged-false-claims-for-custom-wheelchairs/
"Oklahoma Medical Clinic, Owners, And Treating Physician Pay $246,000 To Settle Allegations Of Submitting False Medicare Claims For Medically Unnecessary Ultrasound Procedures",2024-08-27,"Oklahoma Medical Clinic, Owners, And Treating Physician Pay $246,000 To Settle Allegations Of Submitting False Medicare Claims For Medically Unnecessary Ultrasound Procedures",https://oig.hhs.gov/fraud/enforcement/oklahoma-medical-clinic-owners-and-treating-physician-pay-246000-to-settle-allegations-of-submitting-false-medicare-claims-for-medically-unnecessary-ultrasound-procedures/
California Doctor Sentenced For Health Care Fraud Scheme,2024-08-27,California Doctor Sentenced For Health Care Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/california-doctor-sentenced-for-health-care-fraud-scheme/
U.S. Attorney Jesse Laslovich Announces $10.8 Million Civil Settlement With St. Peter’s Health Over False Claims Act Misconduct,2024-08-27,U.S. Attorney Jesse Laslovich Announces $10.8 Million Civil Settlement With St. Peter’s Health Over False Claims Act Misconduct,https://oig.hhs.gov/fraud/enforcement/us-attorney-jesse-laslovich-announces-108-million-civil-settlement-with-st-peters-health-over-false-claims-act-misconduct/
"Florence Wellness Agreed to Pay $194,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Improper Claims for Remote Patient Monitoring",2024-08-27,"Florence Wellness Agreed to Pay $194,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Improper Claims for Remote Patient Monitoring",https://oig.hhs.gov/fraud/enforcement/florence-wellness-agreed-to-pay-194000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-improper-claims-for-remote-patient-monitoring/
"Yavapai Regional Medical Center Agreed to Pay $10,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Properly Certified",2024-08-27,"Yavapai Regional Medical Center Agreed to Pay $10,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Properly Certified",https://oig.hhs.gov/fraud/enforcement/yavapai-regional-medical-center-agreed-to-pay-10000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-not-properly-certified/
"Temporary Nurse Staffing Agencies In Quincy, Waltham To Pay More Than $600,000 In Separate Settlements For Failure To Comply With Rate Limits",2024-08-27,"Temporary Nurse Staffing Agencies In Quincy, Waltham To Pay More Than $600,000 In Separate Settlements For Failure To Comply With Rate Limits",https://oig.hhs.gov/fraud/enforcement/temporary-nurse-staffing-agencies-in-quincy-waltham-to-pay-more-than-600000-in-separate-settlements-for-failure-to-comply-with-rate-limits/
Baptist Health Services Agreed to Pay $1.4 Million for Allegedly Violating the Civil Monetary Penalties Law by Using False Records in Support of Claims for Office Visits,2024-08-27,Baptist Health Services Agreed to Pay $1.4 Million for Allegedly Violating the Civil Monetary Penalties Law by Using False Records in Support of Claims for Office Visits,https://oig.hhs.gov/fraud/enforcement/baptist-health-services-agreed-to-pay-14-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-using-false-records-in-support-of-claims-for-office-visits/
Suffolk Services Provider Pleads Guilty To Health Care Fraud,2024-08-27,Suffolk Services Provider Pleads Guilty To Health Care Fraud,https://oig.hhs.gov/fraud/enforcement/suffolk-services-provider-pleads-guilty-to-healthcare-fraud/
Madison Man Pleads Guilty To Conspiracy To Defraud The United States,2024-08-28,Madison Man Pleads Guilty To Conspiracy To Defraud The United States,https://oig.hhs.gov/fraud/enforcement/madison-man-pleads-guilty-to-conspiracy-to-defraud-the-united-states/
Connecticut Dentists Pay $1.7 Million To Settle False Claims Allegations,2024-08-28,Connecticut Dentists Pay $1.7 Million To Settle False Claims Allegations,https://oig.hhs.gov/fraud/enforcement/connecticut-dentists-pay-17-million-to-settle-false-claims-allegations/
West Hartford Woman Sentenced For Medicaid Fraud,2024-08-29,West Hartford Woman Sentenced For Medicaid Fraud,https://oig.hhs.gov/fraud/enforcement/west-hartford-woman-sentenced-for-medicaid-fraud/
Former Dentist Who Stole Millions From Maryland Medicaid Now Sentenced For Violating Probation,2024-08-30,Former Dentist Who Stole Millions From Maryland Medicaid Now Sentenced For Violating Probation,https://oig.hhs.gov/fraud/enforcement/former-dentist-who-stole-millions-from-maryland-medicaid-now-sentenced-for-violating-probation/
"Slidell Memorial Hospital Agreed to Pay Agreed to Pay $20,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-08-30,"Slidell Memorial Hospital Agreed to Pay Agreed to Pay $20,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",https://oig.hhs.gov/fraud/enforcement/slidell-memorial-hospital-agreed-to-pay-agreed-to-pay-20000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Four Defendants Plead Guilty To Defrauding Virginia Medicaid,2024-09-03,Four Defendants Plead Guilty To Defrauding Virginia Medicaid,https://oig.hhs.gov/fraud/enforcement/four-defendants-plead-guilty-to-defrauding-virginia-medicaid/
Former Chief Operating Officer Of COVID-19 Testing Kit Company Sentenced To More Than Six Years In Federal Prison For Embezzling $1.85 Million,2024-09-04,Former Chief Operating Officer Of COVID-19 Testing Kit Company Sentenced To More Than Six Years In Federal Prison For Embezzling $1.85 Million,https://oig.hhs.gov/fraud/enforcement/former-chief-operating-officer-of-covid-19-testing-kit-company-sentenced-to-more-than-six-years-in-federal-prison-for-embezzling-185-million/
Attorney General Brown Announces Conviction of Washington County Care Provider Who Assaulted Vulnerable Adult,2024-09-04,Attorney General Brown Announces Conviction of Washington County Care Provider Who Assaulted Vulnerable Adult,https://oig.hhs.gov/fraud/enforcement/attorney-general-brown-announces-conviction-of-washington-county-care-provider-who-assaulted-vulnerable-adult/
Pharmaceutical Company Pays $25 Million To Resolve Alleged False Claims Act Liability For Price-Fixing Of Generic Drug,2024-09-04,Pharmaceutical Company Pays $25 Million To Resolve Alleged False Claims Act Liability For Price-Fixing Of Generic Drug,https://oig.hhs.gov/fraud/enforcement/pharmaceutical-company-pays-25-million-to-resolve-alleged-false-claims-act-liability-for-price-fixing-of-generic-drug/
Connecticut Dentist Pleads Guilty To Violating Federal Anti-Kickback Law,2024-09-04,Connecticut Dentist Pleads Guilty To Violating Federal Anti-Kickback Law,https://oig.hhs.gov/fraud/enforcement/connecticut-dentist-pleads-guilty-to-violating-federal-anti-kickback-law/
Home Health Care Company Operators Sentenced To Prison In $5.5 Million Kickback Scheme And Tax Evasion,2024-09-05,Home Health Care Company Operators Sentenced To Prison In $5.5 Million Kickback Scheme And Tax Evasion,https://oig.hhs.gov/fraud/enforcement/home-health-care-company-operators-sentenced-to-prison-in-55-million-kickback-scheme-and-tax-evasion/
"Attorney General Moody Announces Arrest Of Owner Of Caregiving Company For More Than $20,000 In Medicaid Fraud",2024-09-05,"Attorney General Moody Announces Arrest Of Owner Of Caregiving Company For More Than $20,000 In Medicaid Fraud",https://oig.hhs.gov/fraud/enforcement/attorney-general-moody-announces-arrest-of-owner-of-caregiving-company-for-more-than-20000-in-medicaid-fraud/
Macon Resident Sentenced For Obstructing Justice In Civil Investigation,2024-09-05,Macon Resident Sentenced For Obstructing Justice In Civil Investigation,https://oig.hhs.gov/fraud/enforcement/macon-resident-sentenced-for-obstructing-justice-in-civil-investigation/
"The Rector and Visitors of the University of Virginia Agreed to Pay $66,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-09-06,"The Rector and Visitors of the University of Virginia Agreed to Pay $66,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",https://oig.hhs.gov/fraud/enforcement/the-rector-and-visitors-of-the-university-of-virginia-agreed-to-pay-66000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Pharmacists Convicted Of $13M Medicare, Medicaid, And Private Insurer Fraud Scheme",2024-09-06,"Pharmacists Convicted Of $13M Medicare, Medicaid, And Private Insurer Fraud Scheme",https://oig.hhs.gov/fraud/enforcement/pharmacists-convicted-of-13m-medicare-medicaid-and-private-insurer-fraud-scheme/
"Medical Device Company To Pay $700,000 To Resolve False Claims Act Allegations Concerning Inflated Reimbursements From Medicare And Medicaid",2024-09-06,"Medical Device Company To Pay $700,000 To Resolve False Claims Act Allegations Concerning Inflated Reimbursements From Medicare And Medicaid",https://oig.hhs.gov/fraud/enforcement/medical-device-company-to-pay-700000-to-resolve-false-claims-act-allegations-concerning-inflated-reimbursements-from-medicare-and-medicaid/
Marketer Of Durable Medical Equipment Admits Multimillion-Dollar Health Care Fraud Scheme,2024-09-06,Marketer Of Durable Medical Equipment Admits Multimillion-Dollar Health Care Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/marketer-of-durable-medical-equipment-admits-multimillion-dollar-health-care-fraud-scheme/
"Baylor College of Medicine Agreed to Pay $622,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying for Certain Technical Components of Services Related to Referrals by Certain Physicians and Physician Practices",2024-09-10,"Baylor College of Medicine Agreed to Pay $622,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying for Certain Technical Components of Services Related to Referrals by Certain Physicians and Physician Practices",https://oig.hhs.gov/fraud/enforcement/baylor-college-of-medicine-agreed-to-pay-622000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-for-certain-technical-components-of-services-related-to-referrals-by-certain-physicians-and-physician-practices/
Behavioral Health Care Company Executive Charged With Health Care Fraud,2024-09-10,Behavioral Health Care Company Executive Charged With Health Care Fraud,https://oig.hhs.gov/fraud/enforcement/behavioral-health-care-company-executive-charged-with-health-care-fraud/
"Medical Center Health System and Medical Center Hospital, and MCH Professional Care, Agreed to Pay $518,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Medically Unnecessary Services",2024-09-11,"Medical Center Health System and Medical Center Hospital, and MCH Professional Care, Agreed to Pay $518,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Medically Unnecessary Services",https://oig.hhs.gov/fraud/enforcement/medical-center-health-system-and-medical-center-hospital-and-mch-professional-care-agreed-to-pay-518000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-medically-unnecessary-services/
"United States Files Suit Against Pain Institute Of Nashville, Michael Cox, Debbie Cox, And Related Entities",2024-09-11,"United States Files Suit Against Pain Institute Of Nashville, Michael Cox, Debbie Cox, And Related Entities",https://oig.hhs.gov/fraud/enforcement/united-states-files-suit-against-pain-institute-of-nashville-michael-cox-debbie-cox-and-related-entities/
"Man Pleads Guilty To Stealing More Than $68,000 From Medicaid And SNAP",2024-09-11,"Man Pleads Guilty To Stealing More Than $68,000 From Medicaid And SNAP",https://oig.hhs.gov/fraud/enforcement/man-pleads-guilty-to-stealing-more-than-68000-from-medicaid-and-snap/
United States Settles Claims Of Durable Medical Equipment Fraud Against Wilmington Physician,2024-09-11,United States Settles Claims Of Durable Medical Equipment Fraud Against Wilmington Physician,https://oig.hhs.gov/fraud/enforcement/united-states-settles-claims-of-durable-medical-equipment-fraud-against-wilmington-physician/
Final Medoc Defendant Sentenced In $4.4 Million Prescription Kickback Scheme,2024-09-12,Final Medoc Defendant Sentenced In $4.4 Million Prescription Kickback Scheme,https://oig.hhs.gov/fraud/enforcement/final-medoc-defendant-sentenced-in-44-million-prescription-kickback-scheme/
Attorney General James Secures More Than $7.6 Million From Health Insurer For Using Banned Medicaid Provider,2024-09-12,Attorney General James Secures More Than $7.6 Million From Health Insurer For Using Banned Medicaid Provider,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-secures-more-than-76-million-from-health-insurer-for-using-banned-medicaid-provider/
Former Charleston Physician Pleads Guilty To Federal Opioid Crime,2024-09-12,Former Charleston Physician Pleads Guilty To Federal Opioid Crime,https://oig.hhs.gov/fraud/enforcement/former-charleston-physician-pleads-guilty-to-federal-opioid-crime/
